colonia_alcaldia,consumo_total,tot_hog,nivel_promedio_ponderado,diversidad_shannon,PC1,PC2,PC3,PC4
GRANJAS ESTRELLA II | IZTAPALAPA,744.01,382,2.0,-0.0,-1.5729156626682514,0.5316620648409526,-0.6006643543635447,0.16216058339110517
GRANJAS MEXICO I | IZTACALCO,383577.04000000004,3003,2.567239999557846,1.192831526745716,4.008666944680709,-0.28890763970482325,-0.7194521206315776,-1.7252582773372924
GRANJAS MEXICO II | IZTACALCO,283864.99,2772,1.9460057754920745,1.2095160738672162,2.955835848748142,-0.6146805087602606,0.13016183800812287,-1.4665855139976747
GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL) | GUSTAVO A. MADERO,137953.88,766,1.7289911671929779,1.012142631308087,0.7835307368309083,0.29240662991749483,0.7518711485218197,-1.386186599695144
GRANJAS SAN ANTONIO | IZTAPALAPA,130215.5,1081,1.8689186003202385,0.3884372447525286,0.07369438145756517,0.049403856603282774,-0.5725605144791028,-0.7360629196514233
GUADALUPE (BARR) | IZTAPALAPA,17338.41,625,1.9588116788102254,0.1717024815707007,-1.148722004383006,0.4142830030184053,-0.3361007968099752,0.03677826063162978
GUADALUPE DEL MORAL | IZTAPALAPA,16902.6,2711,1.341979340456498,0.6423396416610043,0.013023984385576936,-1.0214133776021501,0.7811424788308408,0.4368053067349825
GUADALUPE INN | ALVARO OBREGON,339488.41,1687,3.8847293490814607,0.16290133082256963,2.399355160522371,1.251223010897402,-2.9713163075446043,-0.7169197087258202
GUADALUPE INSURGENTES | GUSTAVO A. MADERO,104423.99,1432,2.8767540868721833,0.9346614312331254,1.2280832890562863,1.0130383634385351,0.44249724478007463,-0.14314741626927688
GUADALUPE PROLETARIA (AMPL) | GUSTAVO A. MADERO,13632.400000000001,1003,2.0,-0.0,-1.2406247888543898,0.20595814973398174,-0.700479332473211,0.3698636624966893
GUADALUPE PROLETARIA | GUSTAVO A. MADERO,92974.51000000001,2363,1.7778259869291055,0.5296457976944273,0.4597935817175113,-0.5807642601527275,-0.051901686776917026,0.022698526090149416
GUADALUPE TEPEYAC | GUSTAVO A. MADERO,161514.98,2688,2.3065442598575068,1.1396019037596608,2.1337981774974635,-0.12691634031594007,0.6470128799659486,-0.3814887614446197
GUADALUPE VICTORIA II | GUSTAVO A. MADERO,78781.61,1181,2.4829669005241195,0.8400463835392901,0.6420407448982851,0.7774962817458987,0.5254523349681843,-0.24060327278858587
GUADALUPE VICTORIA | GUSTAVO A. MADERO,16515.36,383,1.8351413472064793,0.44763952046352395,-0.9327654743253339,0.5220283074394912,0.29766616539477525,-0.30384789566053483
GUADALUPE | XOCHIMILCO,1514.37,855,1.0,-0.0,-1.8414005125204043,-0.6136900807539779,-0.32787126598692784,-0.16467816779128755
GUERRERO I | CUAUHTEMOC,292859.48,4183,1.7406313089130665,0.5874904120175151,2.6343067814829557,-1.7383655535521572,-1.2282858714595337,-0.5974145661319922
GUERRERO II | CUAUHTEMOC,286603.34,4330,1.8103511284969673,0.8856157372178952,3.081997295490763,-1.6353756713073904,-0.581711276872096,-0.6165546454112495
GUERRERO III | CUAUHTEMOC,304977.83,4144,1.7558890100306637,0.9400056386302535,3.1872656215255013,-1.5939818625167281,-0.5601182078244078,-0.9016199414505716
GUERRERO IV | CUAUHTEMOC,233948.94,2967,1.814128672692426,1.1273231835168926,2.5094651602822675,-0.8026896042719416,0.3017054109042159,-1.0349807238427275
